DateTime,AddedIPs,RemovedIPs
1557852757,24,11
1557854650,276,1290
1557856592,238,434
1557856822,455,0
1557857892,136,73
1557858487,21,10
1557860422,25,20
1557860803,309,22
1557861319,256,0
1557861863,255,0
1557862359,24,23
1557863120,97,318
1557864281,15,25
1557866192,29,20
1557868125,286,216
1557868893,250,0
1557869421,69,90
1557870013,25,33
1557870322,54,1
1557871940,30,23
1557873004,254,0
1557873880,15,27
1557873922,154,309
1557874827,254,0
1557875789,496,1
1557877721,14,13
1557878908,164,311
1557879636,16,16
1557879951,1012,762
1557881556,17,11
1557883456,21,15
1557884534,264,338
1557885369,15,15
1557886341,116,65
1557887289,11,12
1557889238,94,161
1557891142,12,19
1557892453,246,198
1557893083,9,19
1557894200,255,0
1557894974,79,23
1557895599,64,14
1557896919,13,10
1557897975,78,121
1557898838,12,22
1557898926,77,531
1557900762,17,12
1557901802,155,175
1557902654,17,11
1557904600,14,25
1557905403,143,299
1557906494,17,22
1557907254,157,186
1557908437,13,21
1557909625,112,387
1557910336,11,21
1557910831,50,186
1557912257,15,18
1557913381,138,1032
1557914175,23,44
1557916115,9,1101
1557916267,144,291
1557918031,487,2
1557918301,96,717
1557919937,26,15
1557920724,94,0
1557920791,66,0
1557921858,27,22
1557922020,64,98
1557923772,31,20
1557924324,102,1302
1557925715,19,9
1557927612,28,16
1557927924,335,1
1557929533,22,18
1557930311,182,1335
1557931459,6,19
1557931524,94,0
1557933399,6,23
1557935327,24,24
1557935975,229,1975
1557937235,24,24
1557937617,0,3269
1557939141,170,1579
1557939624,0,255
1557941053,9,17
1557941068,2766,0
1557941418,132,630
1557941929,67,0
1557942995,39,16
1557943218,256,250
1557944895,782,18
1557946844,334,1470
1557948204,0,229
1557948762,28,25
1557948915,126,1251
1557950684,37,27
1557951318,88,1264
1557952056,256,222
1557952573,124,67
1557953121,255,0
1557954520,28,15
1557955262,157,138
1557956436,33,28
1557957629,327,0
1557958339,89,52
1557958520,0,255
1557960277,86,70
1557960320,0,256
1557960854,41,148
1557962199,419,0
1557963004,50,83
1557964092,10,17
1557966012,16,17
1557966075,175,157
1557966604,255,506
1557967948,25,9
1557968117,74,126
1557969321,59,0
1557969877,14,8
1557970222,256,0
1557971769,11,17
1557973937,9,19
1557974145,266,146
1557975855,9,17
1557976545,124,239
1557977771,12,19
1557978804,152,92
1557979693,15,19
1557980123,0,256
1557980727,83,61
1557981636,27,25
1557983531,13,15
1557983701,160,61
1557985453,17,18
1557987404,15,17
1557989294,3,15
1557990923,358,1053
1557991474,20,32
1557991804,112,96
1557993392,12,33
1557995313,17,18
1557996074,285,141
1557997236,30,19
1557998124,76,237
1557999378,23,29
1557999776,120,128
1558001561,16,960
